"article_text","article_seen","article_likes","article_dislikes","article_date"
" Сибирская угольная энергетическая компания стала победителем престижной премии ""КонТЭКст"" в основной номинации ""Лучшие коммуникационные проекты компаний ТЭК и промышленности"", сообщает пресс-служба СУЭК. Награда вручена компании за масштабный социо-культурный проект ""20 лет роста и создания"", приуроченный к 20-летию СУЭК, отмечавшемуся в 2021 году. Ежегодная премия ""КонТЭКст"" проводится при поддержке министерства энергетики РФ, Совета Федерации, Государственной думы, РАСО и Союза журналистов России и выявляет лучшие коммуникационные практики в российском ТЭК. В жюри конкурса входят признанные лидеры коммуникаций топливно-энергетического комплекса, лучшие независимые эксперты коммуникационной отрасли, представители профессиональных ассоциаций, союзов и объединений. В этом году на премию претендовали более 150 работ от компаний ТЭК и промышленного блока. Компания ознаменовала двадцатилетие компании множеством мероприятий и добрых дел для тех, без кого была бы немыслима история компании: сотрудников, их семей, жителей территорий, сказал заместитель генерального директора СУЭК Сергей Григорьев. Он выразил уверенность в том, что компания будет и дальше вместе стабильно расти, развиваться, становиться лучше и сильнее. ",32,0,0,20:23 04.10.2022
" Правительство России установило надбавку к зарплате для ряда российских силовиков: с 1 октября этого года она составит пять процентов, а с октября следующего — десять процентов, соответствующее постановление опубликовано на портале правовой информации. Согласно постановлению, ежемесячная надбавка затронет сотрудников полиции, учреждений и органов уголовно-исполнительной системы, органов принудительного исполнения, Федеральной противопожарной службы Государственной противопожарной службы и таможенных органов. Кроме того, она предусмотрена для лиц, проходящих службу в Росгвардии и имеющих специальные звания полиции, а также для начальствующего состава органов федеральной фельдъегерской связи. Надбавка вводится для ""повышения материального обеспечения"". ",9942,88,121,22:47 29.09.2022
" Спасатели в Бангладеш обнаружили тело еще одного человека с затонувшего в воскресенье судна на севере страны, общее число погибших выросло до 69, сообщает издание United News of Bangladesh. По данным спасателей, всего в результате инцидента погибли 30 женщин, 21 ребенок и 18 мужчин, еще трое числятся пропавшими без вести. В воскресенье перегруженная пассажирская лодка, на борту которой находилось около 80 человек, затонула посреди реки Каратойя. Большая часть пассажиров лодки была индуистскими паломниками, которые направлялись в храм по случаю праздника. Подобные несчастные случаи довольно часто происходят в Бангладеш, территорию которой пересекают более 230 рек, при этом это крушение стало самым крупным происшествием с лодками в Бангладеш за этот год. ",6628,1,2,06:54 29.09.2022
"Складывающаяся уникальная ситуация на мировом газовом рынке, очевидно, будет иметь различные долгосрочные последствия. И уже сейчас можно обратить внимание на некоторые сюжеты, которые приведут в том числе к изменению подходов и стратегий газовых компаний, будь то импортеры или экспортеры газа и СПГ. Один из интересных аспектов: сейчас значительная часть предназначенного для Европы российского газа оказывается ""газом Шредингера"": вроде бы он есть (как потенциальная возможность поставки), а одновременно его и нет (как физически поставляемого газа). Поясним, почему это важно для будущего всего глобального рынка. Когда потребители газа заключают долгосрочные контракты на поставку, а производители газа, соответственно, принимают решение об инвестициях в новые мощности по добыче или сжижению газа, они примерно держат в уме баланс спроса и предложения на рынке. Скажем, четыре-пять процентов годового роста спроса на СПГ сопоставляют с теми объемами предложения, что уже готовятся к производству. Конечно, здесь всегда есть масса неопределенностей: то спрос окажется больше или меньше, то стройки идут быстрее или медленней, то что-то сломалось на действующих производствах. Но все равно приходится прикидывать и от этого как-то планировать — это лучше, чем ничего. Сейчас же производители не могут понять: а как оценивать тот навес российского газа, который есть, но не используется. С одной стороны, цены сверхвысоки — в немалой степени из-за снижения объемов российских поставок. С другой стороны — если по тем или иным причинам экспорт российского газа вырастет до базовых значений, это обрушит цены. Долгое время считалось, что примерный объем поставок российского газа легко прогнозируем, чему помогал известный объем действующих долгосрочных контрактов, заинтересованность в выполнении которых всегда была взаимной. Сейчас же экспорт ниже контрактных объемов, а ""Газпром"" уже уведомил европейских импортеров о форс-мажоре (связанном с известными проблемами с газовыми турбинами), чтобы не платить штрафы за недопоставку. Хотя, вероятно, европейские контрагенты обратятся в суд, а история будет иметь длительное продолжение — в таком случае мы в подробностях узнаем весь расклад по работе газовых турбин. В любом случае глава Uniper, хотя и достаточно обтекаемо — вероятно, чтобы иметь пространство для маневра, — но уже высказался о нынешних сложностях работы по долгосрочному контракту с ""Газпромом"", намекая, что он может пересмотрен. То есть в текущей ситуации сам институт долгосрочного контракта оказывается под угрозой. И это, в общем-то, следует и из всей логики развития событий. Евросоюз не скрывает, что не применяет санкций к покупке российского газа, не отказывается от него только потому, что его невозможно быстро заменить. Но если в будущем замена найдется, это означает, что любой контракт может быть разорван со стороны ЕС. А значит, и ""Газпрому"" уже окажется не так важно держаться за свои контракты. На дефицитном рынке спрос на газ будет всегда, а в случае профицитного рынка Европа может просто отказаться от российских поставок, игнорируя былые договоренности. Более того, если таких ограничений в будущем не сделать, то прочему импорту СПГ будет трудно конкурировать с российскими поставками в случае ценовой войны, а ЕС вновь не сможет снизить зависимость от российского газа. Значит, по мере того как Евросоюзу будет нужно меньше российского газа, чем ему захочет и сможет предложить ""Газпром"" (мы сейчас не обсуждаем, произойдет ли это через год, через два или через пять, — неопределенностей много), можно ожидать нормирования объемов российского импорта газа со стороны ЕС. Одновременно текущий кризис нарушает долгосрочные договоренности и по поставкам СПГ — правда, страдают азиатские потребители. Уже неоднократно обсуждалось, что продавцы СПГ по ""дешевым"" контрактам с нефтяной привязкой отказываются от поставок, выплачивая смешную компенсацию. Обычно в таких случаях речь шла о небольших краткосрочных контрактах, поэтому отношение к нарушению таких договоренностей более спокойное. Но последний пример показательный, так как речь идет о двадцатилетнем контракте. По нему ""дочка"" Gazprom Germania поставляла СПГ в Индию по контракту с нефтяной привязкой. После того как Gazprom Germania оказалась под временным управлением немецкого регулятора (и к ""Газпрому"" после известных событий отношения не имеет — напротив, компания попала в список недружественных и находится под блокирующими российскими санкциями), компания попросту отказалась выполнять свои обязательства перед индийской Gail. Всегда была известна ""физика"" контракта: в Индию поставлялся газ, который трейдер тогда еще ""Газпрома"" покупал у ""Ямал СПГ"". Да, по факту не всегда было выгодно направлять ямальский газ в Индию, иногда проще было бы продать его в Европе, а для Индии купить объем где-то поближе. Но с точки зрения суммарного баланса, в том числе и по деньгам, это именно ямальский СПГ, который также приобретался и приобретается с нефтяной привязкой. То есть убытка для трейдера нет — просто, отказавшись от поставок в Индию, компания решила использовать дефицитный СПГ для собственных нужд. Читатель может уточнить: а разве ""Ямал СПГ"" может сейчас продавать товар компании из российского санкционного списка? Да, именно для этого случая прописано исключение до конца августа, и ""Ямал СПГ"" пока исполняет все обязательства. Примеры напряженностей, выходящих за рамки денежных отношений, можно продолжать. Здесь и Австралия, которая хочет ограничить объемы экспорта СПГ (строго говоря, это старая проблема внутреннего дефицита газа в стране). И неопределенности, связанные с покупкой СПГ в США Китаем, — планов у КНР много, а риски очевидно растут. Все это приведет к новым формам взаимодействия на газовом рынке, пересмотру стратегий. К примеру, можно предположить, что у покупателей вырастет желание выходить на производителей, минуя трейдеров-посредников, или же получать какие-то новые формы гарантий. Иначе, в самом деле, какой смысл в долгосрочном контракте, если он может быть расторгнут с явно недостаточной компенсацией. Что касается самих экспортеров газа и СПГ, то для них пока все неплохо. Если Европа законодательно откажется покупать часть российского газа, то дефицит на рынке сохранится еще долго. В противном случае главный риск для новых производителей СПГ — тот, с чего мы начали разговор. Огромный навес из газа, который ""Газпром"" при определенном развитии событий может продавать в Европе практически по любой цене. В том числе и поэтому с начала СВО приняты решения только по двум заводам СПГ в США. Не будет преувеличением сказать, что будущее решение ЕС — одно из определяющих для мирового газового рынка на ближайшие годы. В случае же сохранения российского экспорта в неограниченных объемах для всех производителей газа актуальным становится ""газовый ОПЕК"", где именно у ""Газпрома"" в силу обстоятельств окажется ключевая роль. Идея такой организации обсуждается в теории уже больше десяти лет, а ее возможной базой часто рассматривается ФСЭГ (Форум стран — экспортеров газа). Красивая идея, но известные отличия газового рынка от нефтяного до настоящего времени не позволяли ее реализовать. Тем не менее ""Газпром"" и раньше на европейском рынке (а с учетом связки через СПГ — и на глобальном рынке) напоминал Саудовскую Аравию в нефтяном сегменте. У компании были резервные мощности, которыми можно балансировать, влияя на цену. Более того, долгие годы ""Газпром"" старался поддерживать котировки в Европе на уровне ниже полной стоимости американского СПГ — чтобы такие поставки в Европу оказались невыгодными. Сейчас же подобный сюжет может вновь стать актуальным. Но дождемся прохождения критического периода и каких-то европейских решений — пока же Европа хочет покупать газа даже намного больше, чем предлагает ""Газпром"". ",35496,101,5,08:00 08.08.2022
"Пентагон стремится создать оружие, перед которым бессильны даже самые современные средства противовоздушной обороны. На днях американский военно-промышленный концерн Raytheon получил контракт стоимостью почти миллиард долларов на разработку и испытание гиперзвуковой крылатой ракеты воздушного базирования HACM. Ожидается, что перспективный боеприпас поступит на вооружение ВВС уже в 2027-м. О проекте HACM и других гиперзвуковых разработках США — в материале РИА Новости. Не секрет, что в области гиперзвуковых вооружений американцы оказались догоняющими. Это со скрипом признают и в Белом доме, и в Пентагоне. Главные геополитические соперники США далеко впереди. Россия приняла на вооружение корабельный гиперзвуковой ""Циркон"", аэробаллистический ""Кинжал"" и стратегический ""Авангард"". Китай — твердотопливную ракету средней дальности DF-17. Некоторые из этих систем уже прошли боевое крещение. В частности, в марте ВВС России уничтожили ""Кинжалом"" подземный склад боеприпасов в Ивано-Франковской области Украины. В США реализуют сразу несколько программ. Из наиболее многообещающих проектов — HACM (Hypersonic Attack Cruise Missile). Это крылатая гиперзвуковая ракета воздушного базирования с прямоточным воздушно-реактивным двигателем, способная разгоняться в верхних слоях атмосферы до шести тысяч километров в час. Дальность неизвестна, но американцы подчеркивают, что превзойдут по этому показателю самые дальнобойные системы ПВО России и Китая. ""В качестве основных носителей HACM мы рассматриваем самолеты тактической авиации, главным образом истребители, — сообщил журналистам начальник штаба ВВС США генерал Чарльз Браун. — Новое оружие позволит нашим командирам значительно более гибко планировать боевые операции. Оснащенные им машины смогут уничтожать наиболее ценные подвижные цели в ближнем тылу противника, в то время как специализированные бомбардировщики будут решать стратегические задачи"". Браун не уточнил, о каких именно самолетах идет речь. Видимо, это истребители пятого поколения F-35 и F-22. В Пентагоне убеждены, что они наименее уязвимы для ПВО вероятного противника. Впрочем, их малозаметность еще ни разу не проверяли в реальных боевых действиях современные зенитно-ракетные системы. Проект HACM — лакомый кусок для американской оборонки. В июне прошлого года Пентагон заключил три 15-месячных контракта на разработку предварительных концепций гиперзвуковых крылатых ракет с корпорациями Boeing, Lockheed Martin и Rautheon. Последнюю выбрали для строительства прототипов. В программе участвуют и союзники США. В частности, Австралия пообещала предоставить инфраструктуру для испытаний. HACM — одна из двух головных авиационных программ гиперзвука, которые должны завершиться созданием боевых образцов. Еще есть аэробаллистическая ракета ARRW с глайдером от Lockheed Martin. Предполагается, что это изделие сможет развивать скорость свыше 20 Махов и бить на 900 километров. Ракета предназначена для поражения сухопутных целей, кораблей и целей, быстро меняющих положение. Основные носители ARRW — стратегические бомбардировщики-ракетоносцы B-1B. Принять перспективные ракеты на вооружение планировали уже в 2022 году. Однако неудачи на испытаниях сдвинули сроки вправо. В 2021-м ВВС США провели три теста ракетного ускорителя на прототипе перспективной ракеты. Все провалились. На первых летных испытаниях в апреле изделие не отделилось от самолета. В июле у ракеты не включился двигатель. В декабре ARRW опять не удалось запустить. Испытания завершились успехом лишь в мае 2022 года. Предстоят дополнительные тесты, а это значит, что в ближайшее время ракета на вооружение не поступит. Тем не менее ВВС США запросили финансирование на первые 12 ракет ARRW. По словам представителей Пентагона, производство будет быстрым, так как многие элементы создаются по технологии трехмерной печати. Есть планы на гиперзвук и у других видов Вооруженных сил США. Так, для сухопутных войск создают гиперзвуковой ракетный комплекс большой дальности LRHW (Long Range Hypersonic Weapon). Там будет несколько основных изделий. Главное — ракета AUR (All-Up-Round) в транспортно-пусковом контейнере, несущая боевой блок C-HGB (Common Hypersonic Glide Body). Разрабатывают также мобильную пусковую установку и подвижный командный пункт батареи. C-HGB относится к классу гиперзвуковых планеров. Ракета-носитель разгоняет его до рабочей скорости, после чего начинается самостоятельный планирующий полет. По сообщениям Пентагона, блок C-HGB сумеет достичь как минимум пяти Махов. Более точные значения не называют. Дальность, как пишет издание Breaking Defense, ссылаясь на представителя армии США, превысит 2775 километров. Это позволяет отнести комплекс LRHW к классу ракет средней дальности, запрещенных до недавнего времени договором РСМД. Первую батарею в строевых частях хотят развернуть уже в 2023 году. В дальнейшем специалисты Lockheed Martin намерены разработать вариант для запуска с кораблей и подводных лодок. Ожидается, что он поступит на вооружение в 2025-м. Главный конкурент корабельного варианта LRHW в ВМС США — программа Conventional Prompt Strike (CPS), гиперзвуковых ракет мгновенного глобального удара. Как заявляли в командовании американского флота, это изделие позволит военным поражать любую цель на планете менее чем через час после получения соответствующего приказа. Новые ракеты собираются установить на атомные подводные лодки класса ""Вирджиния"". Первые серийные образцы Пентагон надеется получить к 2024 году, АПЛ переоборудуют под них к 2028-му. На каждой подлодке серии Block V разместят до 65 CPS. Кроме того, эти ракеты рассматривают в качестве основных для новейших малозаметных эсминцев типа Zumwalt. Впрочем, и здесь американские оружейники столкнулись с рядом проблем. В июне ВМС США провалили испытания — изделие не удалось запустить с носителя из-за отказа двигателя. Это уже второй провал — первый был в октябре 2021 года, когда прототип ракеты по неизвестным причинам упал в море вскоре после старта. ",379964,761,53,08:00 02.10.2022
" Взрывы на ""Северных потоках"" угрожают сломить решимость европейцев помогать Украине, заявил в интервью New York Times профессор социологии Университета прикладных наук в Магдебурге Матиас Квент. По его словам, ситуация с газопроводами повысила уровень беспокойства среди жителей Германии, что грозит образованием ""трещин"" в вопросе поддержки Киева. Газета приводит мнение неназванных чиновников и аналитиков, которые считают, что ЧП на газопроводах может снизить поддержку санкционной политики. Утечку газа обнаружили 26 сентября на ""Северном потоке"" и ""Северном потоке — 2"", причем сразу в четырех местах. Как заявила компания-оператор Nord Stream AG, авария беспрецедентна и сроки ремонта оценить невозможно. Сейсмический центр Швеции зафиксировал в районе ЧП мощные подводные взрывы. Кремль назвал случившееся актом международного терроризма. По словам президента Владимира Путина, ""англосаксам уже мало санкций"", они приступили к уничтожению общеевропейской энергетической инфраструктуры. ",202220,530,17,04:29 04.10.2022
" Животные, вероятно, стали причиной трех взрывов наземных мин вблизи Запорожской АЭС, заявили в среду в пресс-службе Международного агентства по атомной энергии (МАГАТЭ). Ранее во вторник эксперты агентства, которые находятся на ЗАЭС, сообщили о двух взрывах возле канала, по которому поступает вода для охлаждения реактора. Причина взрывов не называлась. Взрывной волной на станции было выбито несколько окон. ""Животные, вероятно, стали причиной трех взрывов наземных мин вблизи Запорожской атомной электростанции (ЗАЭС) на Украине, не причинив серьезного ущерба, но еще раз подчеркнув потенциальные риски ядерной безопасности на объекте"", - сообщило МАГАТЭ. По данным агентства, третий взрыв произошел сегодня утром в 50 метрах от ограждения по периметру станции. Генеральный директор МАГАТЭ Рафаэль Гросси выразил глубокую обеспокоенность данным развитием событий. На прошлой неделе Гросси начал переговоры с РФ и Украиной по созданию зоны ядерной безопасности и защиты вокруг ЗАЭС. На открытии 66-й сессии Генеральной конференции агентства в понедельник глава МАГАТЭ заявил, что готов продолжить эти консультации. Запорожская АЭС расположена на левом берегу Днепра рядом с городом Энергодар. Это самая крупная по числу блоков и установленной мощности АЭС в Европе – на станции насчитывается шесть энергоблоков мощностью по 1 гигаватту. С марта она находится под охраной российских военных. В МИД РФ подчеркивали, что этот шаг является оправданным во избежание предотвращения утечек ядерных и радиоактивных материалов. Украинские военные продолжают регулярно обстреливать Энергодар и прилегающую к городу территорию Запорожской АЭС. В начале сентября на ЗАЭС прибыла миссия МАГАТЭ во главе с гендиректором Рафаэлем Гросси. Глава делегации ""Росатома"" и сотрудники ЗАЭС провели по ее территории делегацию МАГАТЭ и показали участки станции, пострадавшие при обстрелах украинских войск. Два сотрудника МАГАТЭ остались на ЗАЭС на постоянной основе. По итогам визита миссии МАГАТЭ опубликовало доклад, в котором подтвердила факт обстрелов ЗАЭС. ",54765,379,1,22:43 28.09.2022
" Система противовоздушной обороны сработала над Мелитополем, прозвучали три взрыва, передает корреспондент РИА Новости. Вечером в субботу, около 22.00 мск, в небе над Мелитополем раздались три взрыва, предварительно, сработала система ПВО. ",10603,37,8,22:26 01.10.2022
" Депутаты Госдумы от ""Справедливой России – За правду"" и лидер партии Сергей Миронов внесли в палату законопроект об отсрочке от частичной мобилизации для обоих родителей, осуществляющих уход за ребенком-инвалидом или инвалидом с детства первой группы. ""В связи с осуществлением мобилизационных мероприятий в отношении одного из родителей лицо, осуществляющее уход за ребенком-инвалидом или инвалидом с детства I группы, вынуждено будет осуществлять трудовую деятельность, что повлечет за собой невозможность ухода за ребенком-инвалидом или инвалидом с детства I группы, а также утрату права на получение вышеуказанной выплаты"", - говорится в тексте пояснительной записки к проекту. В этой связи, по мнению авторов настоящего законопроекта, в отношении таких семей должны быть предусмотрены законодательные меры о праве отсрочки от призыва на военную службу в отношении обоих родителей, осуществляющих уход за ребенком-инвалидом или инвалидом с детства I группы, в целях поддержки указанных семей. Частичная мобилизация в России была объявлена указом президента Владимира Путина 21 сентября. По словам министра обороны РФ Сергея Шойгу, она нужна для контроля линии боевого соприкосновения в 1 тысячу километров и освобожденных территорий на Украине. ",1094,12,0,19:25 04.10.2022
" Книга-сборник пьес современных российских драматургов вышла в Барселоне на каталонском языке, книга является совместным проектом ГИТИС и Национального института театра Барселоны, сообщает пресс-служба ГИТИС. ""В Барселоне вышла книга современной российской драматургии на каталанском языке. Это – вторая часть проекта Российского института театрального искусства – ГИТИС и Национального института театра Барселоны. В прошлом году ГИТИС издал книгу с пятью пьесами современных каталонских авторов"", – говорится в сообщении. В сборник вошли произведения авторов разных поколений - пьесы Леонида Зорина ""Адвокат"" (2014), Александра Железцова ""Рецессивный ген"" (2000), Андрея Вишневского ""Moskausee"" (1999), Евгения Казачкова ""Царь веник"" (2009), Вадима Леванова ""Кровавыя барыни Дарьи Салтыковой, московской столбовой дворянки, правдоподобное и елико возможное достоверное жизнеописание"" (2009), Елены Исаевой ""Я боюсь любви"" (2009) и Ольги Михайловой ""Бабушка"" (2015). Составителем сборника и автором предисловия стал ректор ГИТИСа Григорий Заславский. Издание вышло в свет благодаря поддержке Русского дома в Барселоне. Как рассказали в ГИТИСе, работа над проектом шла два года. ""Собирая эту книгу, хотелось представить каталонскому читателю пьесы российских драматургов разных поколений – и уже зрелых, умудрённых опытом и отчасти избалованных театральным успехом классиков, и тех молодых и талантливых, кто уверен, что нужны новые формы, ищет и выводит в своих пьесах новых героев, новые конфликты"", – отметили в институте. Кроме того, ожидалось, что ""под одной обложкой"" соберутся пьесы живых авторов разных поколений, однако с этой целью справиться не удалось. ""Сначала исключение было одно, потому что, представляя российскую драматургию, нельзя обойтись без очень важной для 90-х и начала 2000-х фигуры Вадима Леванова, который безвременно скончался в 2011 году. Уже во время работы над этой книгой умер классик советской и российской драматургии Леонид Генрихович Зорин"", – объяснили в ГИТИС. Институт надеется, что в скором времени репертуар театров в Каталонии пополнят спектакли по пьесам российских драматургов. ",222,3,1,18:01 19.09.2022
" Навязанные США антироссийские санкции способствуют росту цен на энергоносители в Европе, из-за чего европейские компании вынуждены инвестировать больше в Америку, оставляя свои страны без денег. Об этом пишет канадский исследовательский центр Global Research. Как полагает автор статьи Эрик Зуэссе, теперь европейские компании, имеющие меньше возможностей в Европе из-за отсутствия дешевых российских энергоносителей и сокращения покупательской способности европейцев, вынуждены переехать в Америку, где налоги ниже, правила безопасности и охраны окружающей среды менее строгие, а также меньше прав трудящихся, и поэтому прибыль будет намного выше. Вместо того чтобы отвергнуть санкции Америки против России, главы государств Европы сотрудничали с США, чтобы вызвать этот экономический кризис, отмечают в статье. Западные государства столкнулись с ростом цен на энергоресурсы и всплеском инфляции из-за введения санкций против Москвы и курса на отказ от российского топлива. На фоне подорожания горючего, прежде всего газа, промышленность в Европе во многом лишилась конкурентных преимуществ, что повлияло и на другие сферы экономики. Также США и европейские государства столкнулись с рекордной за десятилетия инфляцией. ",45335,31,1,15:52 30.09.2022
" Президент Польши призвал страны НАТО наращивать производство оружия для передачи его Украине. ""Сегодня Украина нуждается прежде всего в вооружении. Мы его даем все еще мало. Обеспечение поставок оружия Украине требует увеличения производственных возможностей оборонной промышленности на обеих сторонах Атлантики"", - говорится в обращении Дуды к участникам Варшавского форума по безопасности, которое зачитал глава Бюро национальной безопасности Польши Павел Солох. ""В данный момент мы производим мало, медленно для того, чтобы поддерживать Украину и одновременно усиливать свой потенциал по отношению росту угрозы со стороны России"", - отметил Дуда. Россия начала военную операцию на Украине 24 февраля. Президент Владимир Путин назвал ее целью ""защиту людей, которые на протяжении восьми лет подвергаются издевательствам, геноциду со стороны киевского режима"". Для этого, по его словам, планируется провести ""демилитаризацию и денацификацию Украины"", предать суду всех военных преступников, ответственных за ""кровавые преступления против мирных жителей"" Донбасса. Конечная цель операции, по словам верховного главнокомандующего, - ""освобождение Донбасса и создание условий, которые бы гарантировали безопасность самой России"". Россия ранее направила странам НАТО ноту из-за поставок вооружений Украине. Глава МИД РФ Сергей Лавров отмечал, что любые грузы, которые содержат вооружение для Украины, станут законной целью для России. Во внешнеполитическом ведомстве РФ заявляли, что страны НАТО ""играют с огнем"", поставляя оружие на Украину. Пресс-секретарь президента РФ Дмитрий Песков отмечал, что накачивание Украины оружием со стороны Запада не способствует успеху российско-украинских переговоров и будет иметь негативный эффект.  ",2384,10,25,15:26 04.10.2022
